"title_year","currency","movie_title"
"2006","USA","piratesofthecaribbeandeadmanschest"
"2013","USA","theloneranger"
"2013","USA","manofsteel"
"2008","USA","thechroniclesofnarniaprincecaspian"
"2012","USA","theavengers"
"2011","USA","piratesofthecaribbeanonstrangertides"
"2012","USA","meninblack3"
"2014","USA","thehobbitthebattleofthefivearmies"
"2012","USA","theamazingspiderman"
"2010","USA","robinhood"
"2013","USA","thehobbitthedesolationofsmaug"
"2007","USA","thegoldencompass"
"2005","USA","kingkong"
"1997","USA","titanic"
"2016","USA","captainamericacivilwar"
"2012","USA","battleship"
"2015","USA","jurassicworld"
"2012","USA","skyfall"
"2004","USA","spiderman2"
"2013","USA","ironman3"
"2010","USA","aliceinwonderland"
"2006","USA","xmenthelaststand"
"2013","USA","monstersuniversity"
"2009","USA","transformersrevengeofthefallen"
"2014","USA","transformersageofextinction"
"2013","USA","ozthegreatandpowerful"
"2014","USA","theamazingspiderman2"
"2010","USA","tronlegacy"
"2011","USA","cars2"
"2011","USA","greenlantern"
"2010","USA","toystory3"
"2009","USA","terminatorsalvation"
"2015","USA","furious7"
"2013","USA","worldwarz"
"2014","USA","xmendaysoffuturepast"
"2013","USA","startrekintodarkness"
"2013","USA","jackthegiantslayer"
"2013","USA","thegreatgatsby"
"2010","USA","princeofpersiathesandsoftime"
"2013","USA","pacificrim"
"2011","USA","transformersdarkofthemoon"
"2008","USA","indianajonesandthekingdomofthecrystalskull"
"2015","USA","thegooddinosaur"
"2012","USA","brave"
"2016","USA","startrekbeyond"
"2008","USA","wallxc2xb7e"
"2007","USA","rushhour3"
"2009","USA","2012"
"2009","USA","achristmascarol"
"2015","USA","jupiterascending"
"2016","USA","thelegendoftarzan"
"2005","USA","thechroniclesofnarniathelionthewitchandthewardrobe"
"2016","USA","xmenapocalypse"
"2008","USA","thedarkknight"
"2009","USA","up"
"2009","USA","monstersvsaliens"
"2008","USA","ironman"
"2011","USA","hugo"
"1999","USA","wildwildwest"
"2008","USA","themummytombofthedragonemperor"
"2016","USA","suicidesquad"
"2007","USA","evanalmighty"
"2014","USA","edgeoftomorrow"
"1995","USA","waterworld"
"2009","USA","gijoetheriseofcobra"
"2015","USA","insideout"
"2016","USA","thejunglebook"
"2010","USA","ironman2"
"2012","USA","snowwhiteandthehuntsman"
"2014","USA","maleficent"
"2014","USA","dawnoftheplanetoftheapes"
"2015","USA","thelovers"
"2013","USA","47ronin"
"2014","USA","captainamericathewintersoldier"
"2010","USA","shrekforeverafter"
"2015","USA","tomorrowland"
"2014","USA","bighero6"
"2012","USA","wreckitralph"
"2004","USA","thepolarexpress"
"2016","USA","independencedayresurgence"
"2010","USA","howtotrainyourdragon"
"2003","USA","terminator3riseofthemachines"
"2014","USA","guardiansofthegalaxy"
"2014","USA","interstellar"
"2010","USA","inception"
"2016","USA","godzillaresurgence"
"2012","USA","thehobbitanunexpectedjourney"
"2001","USA","thefastandthefurious"
"2008","USA","thecuriouscaseofbenjaminbutton"
"2011","USA","xmenfirstclass"
"2015","USA","thehungergamesmockingjaypart2"
"2010","USA","thesorcerersapprentice"
"2006","USA","poseidon"
"2016","USA","alicethroughthelookingglass"
"2007","USA","shrekthethird"
"2016","USA","warcraft"
"2015","USA","terminatorgenisys"
"2010","USA","thechroniclesofnarniathevoyageofthedawntreader"
"2001","USA","pearlharbor"
"2007","USA","transformers"
"2004","USA","alexander"
"2007","USA","harrypotterandtheorderofthephoenix"
"2005","USA","harrypotterandthegobletoffire"
"2008","USA","hancock"
"2007","USA","iamlegend"
"2005","USA","charlieandthechocolatefactory"
"2007","USA","ratatouille"
"2005","USA","batmanbegins"
"2008","USA","madagascarescape2africa"
"2009","USA","nightatthemuseumbattleofthesmithsonian"
"2009","USA","xmenoriginswolverine"
"2003","USA","thematrixrevolutions"
"2013","USA","frozen"
"2003","USA","thematrixreloaded"
"2013","USA","thorthedarkworld"
"2015","USA","madmaxfuryroad"
"2009","USA","angels&demons"
"2011","USA","thor"
"2008","USA","bolt"
"2009","USA","gforce"
"2012","USA","wrathofthetitans"
"2012","USA","darkshadows"
"2015","USA","missionimpossibleroguenation"
"2010","USA","thewolfman"
"2007","USA","beemovie"
"2011","USA","kungfupanda2"
"2010","USA","thelastairbender"
"2006","USA","missionimpossibleiii"
"2013","USA","whitehousedown"
"2011","USA","marsneedsmoms"
"2006","USA","flushedaway"
"2015","USA","pan"
"2014","USA","mrpeabody&sherman"
"2004","USA","troy"
"2012","USA","madagascar3europesmostwanted"
"2002","USA","dieanotherday"
"2016","USA","ghostbusters"
"1998","USA","armageddon"
"2002","USA","meninblackii"
"2007","USA","beowulf"
"2016","USA","kungfupanda3"
"2011","USA","missionimpossibleghostprotocol"
"2012","USA","riseoftheguardians"
"2005","USA","funwithdickandjane"
"2003","USA","thelastsamurai"
"2014","USA","exodusgodsandkings"
"2009","USA","startrek"
"2002","USA","spiderman"
"2014","USA","howtotrainyourdragon2"
"2016","USA","godsofegypt"
"2005","USA","stealth"
"2009","USA","watchmen"
"1998","USA","lethalweapon4"
"2003","USA","hulk"
"2013","USA","gijoeretaliation"
"2005","USA","sahara"
"2001","USA","finalfantasythespiritswithin"
"2011","USA","captainamericathefirstavenger"
"1999","USA","theworldisnotenough"
"2003","USA","masterandcommanderthefarsideoftheworld"
"2012","USA","thetwilightsagabreakingdawnpart2"
"2011","USA","happyfeet2"
"2008","USA","theincrediblehulk"
NA,"USA","miamivice"
"2016","USA","thebfg"
"2015","USA","therevenant"
"2013","USA","turbo"
"2011","USA","rango"
"2014","USA","penguinsofmadagascar"
"2007","USA","thebourneultimatum"
"2008","USA","kungfupanda"
"2015","USA","antman"
"2013","USA","thehungergamescatchingfire"
"2015","USA","home"
"2005","USA","waroftheworlds"
"2003","USA","badboysii"
"2011","USA","pussinboots"
"2010","USA","salt"
"2014","USA","noah"
"2011","USA","theadventuresoftintin"
"2004","USA","harrypotterandtheprisonerofazkaban"
"2008","USA","australia"
"2013","USA","afterearth"
"2000","USA","dinosaur"
"2011","USA","harrypotterandthedeathlyhallowspartii"
"2014","USA","nightatthemuseumsecretofthetomb"
"2010","USA","megamind"
"2001","USA","harrypotterandthesorcerersstone"
"2013","USA","ripd"
"2003","USA","piratesofthecaribbeanthecurseoftheblackpearl"
"2010","USA","harrypotterandthedeathlyhallowsparti"
"2014","USA","thehungergamesmockingjaypart1"
"2006","USA","thedavincicode"
"2014","USA","rio2"
"2003","USA","xmen2"
"2011","USA","fastfive"
"2011","USA","sherlockholmesagameofshadows"
"2010","USA","clashofthetitans"
"1990","USA","totalrecall"
"1999","USA","the13thwarrior"
"2012","USA","thebournelegacy"
"1997","USA","batman&robin"
"2000","USA","howthegrinchstolechristmas"
"2004","USA","thedayaftertomorrow"
"2000","USA","missionimpossibleii"
"2000","USA","theperfectstorm"
"2007","USA","fantastic4riseofthesilversurfer"
"2012","USA","lifeofpi"
"2007","USA","ghostrider"
"2016","USA","jasonbourne"
"2003","USA","charliesangelsfullthrottle"
"2012","USA","prometheus"
"2002","USA","stuartlittle2"
"2013","USA","elysium"
"2004","USA","thechroniclesofriddick"
"2014","USA","robocop"
"2008","USA","speedracer"
"2010","USA","howdoyouknow"
"2010","USA","knightandday"
"2013","USA","oblivion"
"2005","USA","starwarsepisodeiiirevengeofthesith"
"2002","USA","starwarsepisodeiiattackoftheclones"
"2001","USA","monstersinc"
"2013","USA","thewolverine"
"1999","USA","starwarsepisodeithephantommenace"
"2013","USA","thecroods"
"2008","€","asterixattheolympicgames"
"2002","USA","windtalkers"
