title_year,budget,movie_title,gross
2009,425000000,'Avatar',760507625
2015,306000000,'Star Wars Ep. VII: The Force Awakens',936662225
2007,300000000,'Pirates of the Caribbean: At World's End',309420425
2015,300000000,'Spectre',200074175
2012,275000000,'The Dark Knight Rises',448139099
2013,275000000,'The Lone Ranger',89302115
2012,275000000,'John Carter',73058679
2010,260000000,'Tangled',200821936
2007,258000000,'Spider-Man 3',336530303
2015,250000000,'Avengers: Age of Ultron',459005868
2016,250000000,'Captain America: Civil War',407264745
2016,250000000,'Batman v Superman: Dawn of Justice',330360194
2012,250000000,'The Hobbit: An Unexpected Journey',303003568
2009,250000000,'Harry Potter and the Half-Blood Prince',301959197
2013,250000000,'The Hobbit: The Desolation of Smaug',258366855
2014,250000000,'The Hobbit: The Battle of the Five Armies',255119788
2011,250000000,'Pirates of the Caribbean: On Stranger Tides',241063875
2006,232000000,'Superman Returns',200120000
2008,230000000,'Quantum of Solace',169368427
2012,225000000,'The Avengers',623279547
2006,225000000,'Pirates of the Caribbean: Dead Man's Chest',423315812
2013,225000000,'Man of Steel',291045518
2008,225000000,'The Chronicles of Narnia: Prince Caspian',141621490
2012,220000000,'The Amazing Spider-Man',262030663
2015,215000000,'Jurassic World',652198010
2012,215000000,'Men in Black 3',179020854
2009,210000000,'Transformers: Revenge of the Fallen',402111870
2014,210000000,'Transformers: Age of Extinction',245439076
2006,210000000,'X-Men: The Last Stand',234362462
2010,210000000,'Robin Hood',105269730
2012,209000000,'Battleship',65233400
2005,207000000,'King Kong',218080025
2007,205000000,'The Golden Compass',70107728
1997,200000000,'Titanic',658672302
2010,200000000,'Toy Story 3',415004880
2013,200000000,'Iron Man 3',408992272
2004,200000000,'Spider-Man 2',373524485
2010,200000000,'Alice in Wonderland',334191110
2012,200000000,'Skyfall',304360277
2013,200000000,'Monsters University',268488329
2013,200000000,'Oz the Great and Powerful',234770996
2014,200000000,'X-Men: Days of Future Past',233921534
2014,200000000,'The Amazing Spider-Man 2',202853933
2011,200000000,'Cars 2',191450875
2010,200000000,'Tron: Legacy',172062763
2009,200000000,'2012',166112167
2009,200000000,'Terminator Salvation',125322469
2011,200000000,'Green Lantern',116601172
2010,200000000,'Prince of Persia: Sands of Time',90759676
2011,195000000,'Transformers: Dark of the Moon',352390543
2013,195000000,'Jack the Giant Slayer',65187603
2015,190000000,'Furious 7',351032910
2013,190000000,'Star Trek Into Darkness',228778661
2013,190000000,'World War Z',202359711
2013,190000000,'The Great Gatsby',144840419
2009,190000000,'Disney's A Christmas Carol',137855863
2013,190000000,'Pacific Rim',101802906
2015,187500000,'The Good Dinosaur',123087120
2008,186000000,'Iron Man',318604126
2008,185000000,'The Dark Knight',533345358
2008,185000000,'Indiana Jones and the Kingdom of the Crystal Skull',317023851
2012,185000000,'Brave',237282182
2016,185000000,'Star Trek Beyond',130468626
2005,180000000,'The Chronicles of Narnia: The Lion the Witch and the Wardrobe',291710957
2014,180000000,'Maleficent',241407328
2008,180000000,'WALL-E',223808164
2007,180000000,'Rush Hour 3',140125968
2016,180000000,'The Legend of Tarzan',124305281
2011,180000000,'Hugo',73864507
2017,180000000,'Valerian and the City of a Thousand Planets',0
2015,179000000,'Jupiter Ascending',47482519
2016,178000000,'X-Men: Apocalypse',155442489
2014,178000000,'Edge of Tomorrow',100206256
2016,175000000,'The Jungle Book',362719352
2015,175000000,'Inside Out',356461711
2009,175000000,'Up',293004164
2009,175000000,'Monsters vs. Aliens',198351526
2016,175000000,'Suicide Squad',161087183
2009,175000000,'G.I. Joe: The Rise of Cobra',150201498
1999,175000000,'Wild Wild West',113805681
2008,175000000,'The Mummy: Tomb of the Dragon Emperor',102491776
2007,175000000,'Evan Almighty',100289690
1995,175000000,'Waterworld',88246220
2013,175000000,'47 Ronin',38362475
2020,175000000,'Singularity',0
2014,170000000,'Guardians of the Galaxy',333172112
2010,170000000,'Iron Man 2',312433331
2014,170000000,'Captain America: The Winter Soldier',259746958
2014,170000000,'Dawn of the Planet of the Apes',208545589
2004,170000000,'The Polar Express',194949659
2012,170000000,'Snow White and the Huntsman',155136755
2003,170000000,'Terminator 3: Rise of the Machines',150358296
2004,170000000,'Van Helsing',120150546
2015,170000000,'Tomorrowland',93436322
2016,170000000,'Alice Through the Looking Glass',76879693
2010,165000000,'Shrek Forever After',238736787
2014,165000000,'Big Hero 6',222527828
2010,165000000,'How to Train Your Dragon',217581231
2012,165000000,'Wreck-It Ralph',189412677
2014,165000000,'Interstellar',188017894
2016,165000000,'Independence Day: Resurgence',102362220
2011,163000000,'Cowboys and Aliens',100240551
2007,160000000,'Shrek the Third',322719944
